Owner_First_Name,Owner_Family_Name,Property_Type,Property_Location,Rent_Income
Gerolamo,LOMBARDO,Casetta a pepian vacua,Calle del Luganegher,6 ducati
Gerolamo,LOMBARDO,Casa in soler,Calle del Luganegher,7 ducati
Gerolamo,LOMBARDO,Casa in soler,Calle del Luganegher,10 ducati
Gerolamo,LOMBARDO,Casetta a pepian,Calle del Luganegher,9 ducati
Gerolamo,LOMBARDO,Casa in soler,Calle del Luganegher,14 ducati
Gerolamo,LOMBARDO,Bottegha da luganegher,Calle del Luganegher,12 ducati
Iseppo,DE STAFANI,Inviamento della suddetta bottegha,Calle del Luganegher,0
Gerolamo,LOMBARDO,Casa in soler di sopra,Calle del Paradiso,9 ducati
Gerolamo,LOMBARDO,Casa in soler di sotto,Calle del Paradiso,9 ducati
Gerolamo,LOMBARDO,Casa a pepian,Calle del Paradiso,7 ducati
Gerolamo,LOMBARDO,Casetta vacua,Calle del Paradiso,7 ducati
Gerolamo,LOMBARDO,Casetta a pepian,Calle del Paradiso,7 ducati
Gerolamo,LOMBARDO,Casa in soler,Calle del Paradiso,9 ducati
Gerolamo,LOMBARDO,Casetta vacua,Calle del Paradiso,9 ducati
Gabriel,LOMBARDO,Casa a pepian,Calle del Paradiso,9 ducati
Gabriel,LOMBARDO,Casa in soler,Calle del Paradiso,9 ducati e mezzo
Gabriel,LOMBARDO,Casa a pepian,Calle del Paradiso,6 ducati
Gabriel,LOMBARDO,Casa in soler,Calle del Paradiso,10 ducati
Gabriel,LOMBARDO,Casa a pepian,Calle del Paradiso,6 ducati
Gabriel,LOMBARDO,Casa a pepian,Calle del Paradiso,5 ducati
Gioseffe,CALLIARI,Casa in soler,Calle de Pettola,5 ducati
Gioseffe,CALLIARI,Casa in soler,Calle de Pettola,9 ducati
Giulio,MALVICINI,Casa in soler,Calle de Pettola,12 ducati
Gabriel,LOMBARDO,Casa a pepian,Al Capitello vicino la Calle Larga,9 ducati
Gabriel,LOMBARDO,Bottegha da Fruttarol,Al Capitello vicino la Calle Larga,9 ducati
Luca,FERRO,Inviamento della suddetta bottegha,Al Capitello vicino la Calle Larga,6 ducati
Gabriel,LOMBARDO,Casa in soler di sopra,Al Capitello vicino la Calle Larga,7 ducati
Gabriel,LOMBARDO,Casa in soler di sotto,Al Capitello vicino la Calle Larga,10 ducati
Gabriel,LOMBARDO,Casa in soler di sotto vacua,Al Capitello vicino la Calle Larga,7 ducati
Maria,MELCHIORI BENEDETTI,Casa in soler,Al Capitello vicino la Calle Larga,16 ducati
Isidoro,MANZONI,Casa a pepian,Al Capitello vicino la Calle Larga,12 ducati
Isidoro,MANZONI,Casa in soler di sotto,Al Capitello vicino la Calle Larga,12 ducati
Isidoro,MANZONI,Casa in soler di sopra,Al Capitello vicino la Calle Larga,12 ducati
Giacomo,BIANCHI,Casa in soler,Al Capitello vicino la Calle Larga,16 ducati
Pietro,TREVANO,Casa a pepian,Al Capitello vicino la Calle Larga,10 ducati
Pietro,TREVANO,Casa a pepian,Al Capitello vicino la Calle Larga,"6 ducati, 22 grossi"
Giacomo,BIANCHI,Casa a pepian,Al Capitello vicino la Calle Larga,12 ducati
Giacomo,BIANCHI,Casa in soler di sotto,Calle Larga vicino la Ca' Matta,12 ducati
Giacomo,BIANCHI,Casa in soler,Calle Larga vicino la Ca' Matta,8 ducati
Giacomo,BIANCHI,Casa in soler,Calle Larga vicino la Ca' Matta,7 ducati
Giacomo,BIANCHI,Casa in soler,Calle Larga vicino la Ca' Matta,6 ducati
Giacomo,BIANCHI,Casa a pepian,Calle Larga vicino la Ca' Matta,10 ducati
Giacomo,BIANCHI,Casa a pepian,Calle Larga vicino la Ca' Matta,6 ducati
Giacomo,BIANCHI,Casa in soler di sotto,Calle Larga vicino la Ca' Matta,6 ducati
Giacomo,BIANCHI,Casa in soler,Calle Larga vicino la Ca' Matta,6 ducati
Giacomo,BIANCHI,Casa in soler,Calle Larga vicino la Ca' Matta,8 ducati
Giacomo,BIANCHI,Casa in soler,Calle Larga vicino la Ca' Matta,7 ducati
Giacomo,BIANCHI,Casa in soler,Calle Larga vicino la Ca' Matta,6 ducati
Giacomo,BIANCHI,Casa in soler di sopra,Calle Larga vicino la Ca' Matta,5 ducati
Giacomo,BIANCHI,Casa in soler di sopra,Calle Larga,6 ducati
Giacomo,BIANCHI,Casa in soler,Calle Larga,5 ducati
Giacomo,BIANCHI,Casa a pepian,Calle Larga,6 ducati
Giacomo,BIANCHI,Casa a pepian,Calle Larga,7 ducati
Francesca,FRAMONDO,Bottegha da fruttarol,Calle Larga,8 ducati
Francesca,FRAMONDO,Inviamento,Calle Larga,8 ducati
Vicenzo,PISANI,Casa in soler di sopra,Calle Larga,8 ducati
Vicenzo,PISANI,Casa in soler,Calle Larga,8 ducati
Vicenzo,PISANI,Casa in soler di sotto,Calle Larga,8 ducati
Vicenzo,PISANI,Casa in soler di sotto,Calle Larga,9 ducati
Zuanna,FRAMONDO,Casa in soler,Calle Larga,8 ducati
Zuanne,VERGOTIN,Casetta in soler,Calle Larga,10 ducati
Zuanne,VERGOTIN,Casetta in soler,Calle Larga,10 ducati
Zuanne,VERGOTIN,Casa a pepian,Calle Larga,7 ducati
Giacomo,FRAMONDO,Casa in soler,Calle Larga,16 ducati
Giacomo,FRAMONDO,Casa a pepian,Calle Larga,14 ducati
Zuanne,CORAO,Casa Dominical serve per uso proprio,Calle Larga,0
Zuanne,CORAO,Bottegha da Fruttarol serve per proprio uso,Calle Larga,0
Zuanne,CORAO,Inviamento della suddetta bottegha,Calle Larga,0
Giovanni Giorgio,SCOTI,Casa in soler,Fra la Calle Larga e Corte della Baldine,12 ducati
Giovanni Giorgio,SCOTI,Casa in soler,Fra la Calle Larga e Corte della Baldine,10 ducati
Domenico,COPPO,Casetta a pepian,Fra la Calle Larga e Corte della Baldine,7 ducati
Domenico,COPPO,Casetta a pepian,Fra la Calle Larga e Corte della Baldine,12 ducati
Giulio,CENTENARI,Casetta a pepian,Fra la Calle Larga e Corte della Baldine,10 ducati
Giulio,CENTENARI,Casotto da fasci,Fra la Calle Larga e Corte della Baldine,4 ducati
Marina,SAGGIO,Bottegha da barbier,Fra la Calle Larga e Corte della Baldine,8 ducati
Marina,SAGGIO,Casetta a pepian,Corte delle Baldine,"7 ducati, 3 grossi"
Marina,SAGGIO,Casetta a pepian,Corte delle Baldine,"7 ducati, 3 grossi"
Alvise,GAGIETTA,Casa in soler,Corte delle Baldine,7 ducati
,ROSA,Casa in soler,Corte delle Baldine,"6 ducati, 18 grossi"
,ROSA,Casa in soler,Corte delle Baldine,"6 ducati, 18 grossi"
Antonio,MORO,Casa in soler,Corte delle Baldine,"7 ducati, 3 grossi"
Marina,SAGGIO,Casa in soler,Loco vicino alla Corte delle Baldine sopra la strada verso Santa Marta,13 ducati
Marina,SAGGIO,Casa in soler,Loco vicino alla Corte delle Baldine sopra la strada verso Santa Marta,13 ducati
Elisabetta,ZAMBELLI,Casa in soler,Loco vicino alla Corte delle Baldine sopra la strada verso Santa Marta,24 ducati
Lunardo,PESARO,Casa in soler di sopra,Loco vicino alla Corte delle Baldine sopra la strada verso Santa Marta,8 ducati
Lunardo,PESARO,Casa soler di sotto,Loco vicino alla Corte delle Baldine sopra la strada verso Santa Marta,6 ducati
,PAPACIZZA,Casa domenicale,Loco vicino alla Corte delle Baldine sopra la strada verso Santa Marta,0
Zuanne,DILETTI,Casa in soler,Loco vicino alla Corte delle Baldine sopra la strada verso Santa Marta,12 ducati
Mattio,PALMARINI,In detta casa,Loco vicino alla Corte delle Baldine sopra la strada verso Santa Marta,12 ducati
Francesco,PEDRINI,Casa a pepian,Corte delli Formenti,"7 ducati, 3 grossi"
Nicolo,BERIZZI,Casa soler di sopra,[Appartamento] li Formenti sopra la strada verso Santa Marta,12 ducati
Nicolo,BERIZZI,Casa in soler di sopra,[Appartamento] li Formenti sopra la strada verso Santa Marta,9 ducati
Nicolo,BERIZZI,Casa soler di sotto,[Appartamento] li Formenti sopra la strada verso Santa Marta,12 ducati
Nicolo,BERIZZI,Casa soler di sotto,[Appartamento] li Formenti sopra la strada verso Santa Marta,8 ducati
Zuanne,GRANDI,Casa in soler,[Appartamento] li Formenti sopra la strada verso Santa Marta,16 ducati
Iseppo,GRANDI,Casa soler di sopra,[Appartamento] li Formenti sopra la strada verso Santa Marta,9 ducati
Iseppo,GRANDI,Casa,[Appartamento] li Formenti sopra la strada verso Santa Marta,5 ducati
Gerolamo,GRANDI,Casa soler di sotto,[Appartamento] li Formenti sopra la strada verso Santa Marta,10 ducati
Gerolamo,GRANDI,Casa soler di sotto,[Appartamento] li Formenti sopra la strada verso Santa Marta,11 ducati
Luigi,TERZI,Casa in soler,Calle del Fumo,5 ducati
Luigi,TERZI,Casa in soler,Calle del Fumo,5 ducati
Luigi,TERZI,Casa a pepian,Calle del Fumo,5 ducati
Luigi,TERZI,Casa a pepian vacua,Calle del Fumo,5 ducati
Luigi,TERZI,Casa in soler,Calle del Fumo,5 ducati
Luigi,TERZI,Detta casa a pepian,Calle del Fumo,5 ducati
Luigi,TERZI,Casa in soler,Calle del Fumo,14 ducati
Marietta,BON VETTURI,Casa in soler,Sopra la strada verso la Corte della Pozzetta,"6 ducati, 12 grossi"
Marietta,BON VETTURI,Casa in soler,Sopra la strada verso la Corte della Pozzetta,"8 ducati, 17 grossi"
Marietta,BON VETTURI,Casa soler di sotto,Sopra la strada verso la Corte della Pozzetta,"8 ducati, 17 grossi"
Marietta,BON VETTURI,Casa soler si sotto,Sopra la strada verso la Corte della Pozzetta,"5 ducati, 20 grossi"
Maria | _madre,CESCHO VENERANDO DI MURANO | CESCHO VENERANDO DI MURANO,Casa in soler,Sopra la strada verso la Corte della Pozzetta,12 ducati
Francesco,SCOTTI,Casa a pepian,Corte della Pozzetta e loco vicino,12 ducati
Zuanne,FAZZADIO,Casa in soler,Corte della Pozzetta e loco vicino,3 ducati
Marietta,BON VETTURI,Bottegha da zavatter,Corte della Pozzetta e loco vicino,"3 ducati, 21 grossi"
Marietta,BON VETTURI,Casa in soler,Corte della Pozzetta e loco vicino,"5 ducati, 20 grossi"
Zuanne,FAZZADIO,Casa in soler di sotto,Corte della Pozzetta e loco vicino,12 ducati
Marc'antonio,MOCENIGO,Casa soler di sopra,Corte della Pozzetta e loco vicino,11 ducati
Marc'antonio,MOCENIGO,Casa soler di sopra,Corte della Pozzetta e loco vicino,8 ducati
Marc'antonio,MOCENIGO,Casa a pepian,Corte della Pozzetta e loco vicino,4 ducati
Francesco,CALVI,Casa a pepian,Alla Terrazza,13 ducati
Francesco,CALVI,Casa in soler,Alla Terrazza,9 ducati
Francesco,CALVI,Detta Casa soler di sotto,Alla Terrazza,9 ducati
Francesco,CALVI,Casa soler di sotto,Alla Terrazza,8 ducati
Francesco,CALVI,Casa soler di sotto,Alla Terrazza,8 ducati
Giovanni Battista,FIORETTI,Casa a pepian,Alla Terrazza,"9 ducati, 16 grossi"
Vicenzo,DARIO,Casa in soler,Calle delle Monache di Santa Marta,"7 ducati, 18 grossi"
Vicenzo,DARIO,Casa in soler di sotto,Calle delle Monache di Santa Marta,"5 ducati, 20 grossi"
Vicenzo,DARIO,Casa in soler a pepian,Calle delle Monache di Santa Marta,"7 ducati, 18 grossi"
Zorzi,BAVELLA,Casa in soler,Calle delle Monache di Santa Marta,18 ducati
Francesco,PASSALACQUA,Casa a pepian,Loco vicino fuori della Calle delle Monache,36 lire
Francesco,PASSALACQUA,Casa in soler,Loco vicino fuori della Calle delle Monache,42 lire
Francesco,PASSALACQUA,Casa soler di sotto,Loco vicino fuori della Calle delle Monache,42 lire
Andriana,FORMENTI,Casa a pepian,Loco vicino fuori della Calle delle Monache,42 lire
Andrea,VENDRAMIN,Casa soler di sopra,Loco vicino fuori della Calle delle Monache,8 ducati
Andrea,VENDRAMIN,Casa soler di sopra,Loco vicino fuori della Calle delle Monache,8 ducati
Benetto Vettor,MOLLIN,Casa in soler,Calle delle due Scalle,11 ducati
Benetto Vettor,MOLLIN,Casa in soler,Calle delle due Scalle,12 ducati
Benetto Vettor,MOLLIN,Casa in soler,Calle delle due Scalle,9 ducati
Zorzi,AMIGONI,Casa a pepian,Calle delle due Scalle,6 ducati
Veneranda,LUCA,Casa in soler,Calle delle due Scalle,16 ducati
Giovanni Battista,FIORETTI,Casa in soler,Calle delle due Scalle,48 lire
Giovanni Battista,FIORETTI,Casa in soler,Calle delle due Scalle,36 lire
Giovanni Battista,FIORETTI,Casa in soler vacua,Calle delle due Scalle,8 ducati
Piero,CONTARINI,Casa a pepian,Calle delle due Scalle,42 lire
Piero,CONTARINI,Casa in soler,Calle delle due Scalle,42 lire
Piero,CONTARINI,Casa in soler,Calle delle due Scalle,30 lire
Piero,CONTARINI,Casa in soler,Calle delle due Scalle,30 lire
Zorzi,AMIGONI,Bottegha da luganegher,Calle delle due Scalle,10 ducati
Cattarina,DA MONTE,Inviamento della bottegha suddetta,Calle delle due Scalle,20 ducati
Maria,BALBI,Casa a pepian,In Facciata alla Calle delle 2 Scale e Campiel de Visentini,7 ducati
Maria,BALBI,Casa in soler,In Facciata alla Calle delle 2 Scale e Campiel de Visentini,48 lire
Sebastian,SCOTTI,Casa a pepian,In Facciata alla Calle delle 2 Scale e Campiel de Visentini,48 lire
Anzolo,MINIO,Casa soler,In Facciata alla Calle delle 2 Scale e Campiel de Visentini,4 ducati
Anzola,FURLANETTO,Casa dominicale in soler per proprio uso,In Facciata alla Calle delle 2 Scale e Campiel de Visentini,0
Antonio,ZANON,Casetta a pepian,Campiello de Visentini,36 lire
Antonio,ZANON,Casa a pepian,Campiello de Visentini,30 lire
Antonio,ZANON,Casa a papian,Campiello de Visentini,24 lire
Antonio,ZANON,Casa a pepian,Campiello de Visentini,36 lire
Francesco,NEGRI,Casa in soler,Campiello de Visentini,35 ducati
Francesco,NEGRI,Casa in soler,Campiello de Visentini,54 lire
Francesco,NEGRI,Casa in soler,Campiello de Visentini,48 lire
Francesco,NEGRI,Casa in soler,Campiello de Visentini,48 lire
Francesco,NEGRI,Casa in soler,Campiello de Visentini,60 lire
Nicolo,ALCIATI,Casa in soler,Calle de Gionghi,8 ducati
Nicolo,ALCIATI,In casa in soler,Calle de Gionghi,6 ducati
Nicolo,ALCIATI,Casa in soler,Calle de Gionghi,6 ducati
Nicolo,ALCIATI,Casa in soler,Calle de Gionghi,9 ducati
Nicolo,ALCIATI,Casa a pepian,Calle de Gionghi,9 ducati
Giovanni Battista,GANASSA,Casa in soler,Calle de Gionghi,8 ducati
Faustin,TEARDO,Casa in soler,Calle de Gionghi,6 ducati
Santo,MANONI,Casa a pepian,Loco vicino la Calle delle Baghelle,"7 ducati, 18 grossi"
Faustin,TEARDO,Casa in soler,Loco vicino la Calle delle Baghelle,96 lire
Faustin,TEARDO,Casa in soler,Loco vicino la Calle delle Baghelle,42 lire
Faustin,TEARDO,Casa a pepian,Loco vicino la Calle delle Baghelle,36 lire
Faustin,TEARDO,Casa in soler,Loco vicino la Calle delle Baghelle,60 lire
Ottavio,ALCIATI,Casa in soler,Loco vicino la Calle delle Baghelle,42 lire
Ottavio,ALCIATI,In detta Casa,Loco vicino la Calle delle Baghelle,48 lire
Ottavio,ALCIATI,In detta Casa,Loco vicino la Calle delle Baghelle,36 lire
Ottavio,ALCIATI,In detta Casa secondo soler,Loco vicino la Calle delle Baghelle,48 lire
Ottavio,ALCIATI,In detta Casa secondo soler,Loco vicino la Calle delle Baghelle,36 lire
Ottavio,ALCIATI,Casa a papian,Loco vicino la Calle delle Baghelle,30 lire
Ottavio,ALCIATI,Casa a pepian,Loco vicino la Calle delle Baghelle,30 lire
Ottavio,ALCIATI,Casa a pepian,Loco vicino la Calle delle Baghelle,48 lire
Lucietta,SAGREDO SPINELLI,Casa a pepian,Loco vicino la Calle delle Baghelle,36 lire
Lucietta,SAGREDO SPINELLI,Casa in soler,Loco vicino la Calle delle Baghelle,36 lire
Lucietta,SAGREDO SPINELLI,In detta casa soler di sotto,Loco vicino la Calle delle Baghelle,48 lire
Giovanni Battista,ALCIATI,Casa a pepian,Loco vicino la Calle delle Baghelle,48 lire
Giovanni Battista,ALCIATI,Casa in soler,Loco vicino la Calle delle Baghelle,48 lire
Giovanni Battista,ALCIATI,In detta casa soler di sotto,Loco vicino la Calle delle Baghelle,60 lire
Ottavio,ALCIATI,Casa a pepian,Loco vicino la Calle delle Baghelle,48 lire
Ottavio,ALCIATI,Casa in soler di sopra,Loco vicino la Calle delle Baghelle,60 ducati
Ottavio,ALCIATI,In detta casa in soler,Loco vicino la Calle delle Baghelle,48 lire
Ottavio,ALCIATI,In detta casa di sotto,Loco vicino la Calle delle Baghelle,54 lire
Ottavio,ALCIATI,In detta casa di sotto,Loco vicino la Calle delle Baghelle,48 lire
Ottavio,ALCIATI,Casa a pepian,Loco vicino la Calle delle Baghelle,36 lire
Ottavio,ALCIATI,Casa in soler,Loco vicino la Calle delle Baghelle,36 lire
Ottavio,ALCIATI,Casa in soler,Loco vicino la Calle delle Baghelle,54 lire
Ottavio,ALCIATI,In detta casa in soler,Loco vicino la Calle delle Baghelle,42 lire
Ottavio,ALCIATI,In detta casa soler di mezo,Loco vicino la Calle delle Baghelle,48 lire
Ottavio,ALCIATI,In detta casa soler di mezo,Loco vicino la Calle delle Baghelle,42 lire
Ottavio,ALCIATI,In detta casa soler di sotto,Loco vicino la Calle delle Baghelle,36 lire
Ottavio,ALCIATI,In detta casa soler di sotto,Loco vicino la Calle delle Baghelle,54 lire
Ottavio,ALCIATI,"In detta casa, camera vacua",Loco vicino la Calle delle Baghelle,48 lire
Ottavio,ALCIATI,Casa a pepian vacua,Loco vicino la Calle delle Baghelle,42 lire
Ottavio,ALCIATI,Casa a pepian,Loco vicino la Calle delle Baghelle,48 lire
Francesco,CALVI,Casa a pepian,Loco vicino la Calle delle Baghelle,60 lire
Marco,NESPOLA,Casa in soler di sopra,Loco vicino la Calle delle Baghelle,48 lire
Marco,NESPOLA,Casa in soler di sopra,Loco vicino la Calle delle Baghelle,42 lira
Marco,NESPOLA,In detta casa soler di sotto vacua,Loco vicino la Calle delle Baghelle,0
Costantin,LOREDAN,Casa a pepian,Loco vicino la Calle delle Baghelle,36 lire
Costantin,LOREDAN,Casa in soler vacua,Loco vicino la Calle delle Baghelle,36 lire
Costantin,LOREDAN,Altra casa in soler,Loco vicino la Calle delle Baghelle,36 lire
Giovanna Battista,GANASSA,Casa a pepian,Loco vicino la Calle delle Baghelle,9 ducati
Giovanna Battista,GANASSA,Casa in soler,Loco vicino la Calle delle Baghelle,12 ducati
Giovanna Battista,GANASSA,In detta casa in soler,Loco vicino la Calle delle Baghelle,12 ducati
Giovanna Battista,GANASSA,In detta Casa soler di sotto,Loco vicino la Calle delle Baghelle,8 ducati
Giovanna Battista,GANASSA,Casa soler di sotto,Loco vicino la Calle delle Baghelle,8 ducati
Giovanna Battista,GANASSA,Casa a pepian,Loco vicino la Calle delle Baghelle,7 ducati
Rodamonte,MONIGO,Casa in soler,Calle degl'Arzentesi,36 lire
Rodamonte,MONIGO,Casa vacua,Calle degl'Arzentesi,36 lire
Rodamonte,MONIGO,Casa vacua,Calle degl'Arzentesi,36 lire
Rodamonte,MONIGO,Casa vacua,Calle degl'Arzentesi,24 lire
Rodamonte,MONIGO,Casa vacua,Calle degl'Arzentesi,36 lire
Giovanni Battista,ALCIATI,Casa a pepian,Calle degl'Arzentesi,48 lire
Giovanni Battista,ALCIATI,Casa a pepian,Calle degl'Arzentesi,7 ducati
Andrea,SPINAZZI,Casa in soler di sotto,Calle degl'Arzentesi,12 ducati
Andrea,SPINAZZI,Casa vacua soler di sopra,Calle degl'Arzentesi,12 ducati
,ARZENTESE ARZENTESE,Fondo rovinoso,Calle degl'Arzentesi,0
Giovanni Battista,FACCINI,Casa in soler,Al Paré di Tolle,6 ducati
Giovanni Battista,FACCINI,In detta casa,Al Paré di Tolle,5 ducati
Giovanni Battista,FACCINI,In detta casa soler di mezo,Al Paré di Tolle,6 ducati
Giovanni Battista,FACCINI,In detta casa soler di mezo,Al Paré di Tolle,6 ducati
Giovanni Battista,FACCINI,In detta casa soler di sotto,Al Paré di Tolle,6 ducati
Giovanni Battista,FACCINI,In detta casa soler di sotto,Al Paré di Tolle,6 ducati
Giovanni Battista,FACCINI,Casa vacua,Al Paré di Tolle,6 ducati
Giovanni Battista,FACCINI,Casa vacua,Al Paré di Tolle,6 ducati
Giovanni Battista,FACCINI,Casa in soler,Al Paré di Tolle,102 lire
Marina,SAGGIO,Casa a pepian,Al Paré di Tolle,42 lire
Marina,SAGGIO,Casa in soler,Al Paré di Tolle,48 lire
Marina,SAGGIO,In detta Casa in soler,Al Paré di Tolle,54 lire
Marina,SAGGIO,Casa in soler,Al Paré di Tolle,48 lire
Marina,SAGGIO,In detta casa in soler,Al Paré di Tolle,72 lire
Marina,SAGGIO,Casa a pepian,Al Paré di Tolle,42 lire
Antonio,MORO,Casa in soler,Al Paré di Tolle,6 ducati
Francesco,MORO,In detta casa in soler,Al Paré di Tolle,8 ducati
Nadalina,GARAGO,Casa in soler,Al Paré di Tolle,36 lire
Francesco,MORO,In detta casa in soler,Al Paré di Tolle,48 lire
Domenico Domenico,SPINAZZI,Casa domenicale per proprio uso,Al Paré di Tolle,0
Antonio,MORO,Casa a pepian,Al Paré di Tolle,26 lire
Angelo,CALLEGARI,Casetta a pepian,Al Paré di Tolle,8 ducati
Antonio,GRITTI,Inviamento di detta bottega,Al Paré di Tolle,35 ducati
Piero Maria,CONTARINI,"Bastion, altra portion",Al Paré di Tolle,"82 ducati, 14 grossi"
Giovanni Battista,MORESCHI,"Bastion, altra portion",Al Paré di Tolle,"41 lire, 6 soldi"
Francesco,SARDI,Casa a pepian,Calle del Magazenetto,36 lire
Francesco,SARDI,Casa a pepian,Calle del Magazenetto,36 lire
Francesco,SARDI,Casa in soler,Calle del Magazenetto,5 ducati
Francesco,SARDI,In detta casa in soler,Calle del Magazenetto,5 ducati
Francesco,SARDI,Casa in soler,Calle del Magazenetto,48 lire
Francesco,SARDI,In detta casa in soler,Calle del Magazenetto,60 lire
Francesco,SARDI,Casa a pepian,Calle del Magazenetto,6 ducati
Francesco,SARDI,Casa in soler,Calle del Magazenetto,8 ducati
Francesco,SARDI,In detta casa in soler,Calle del Magazenetto,8 ducati
Francesco,SARDI,Casa in soler,Calle del Magazenetto,11 ducati
Francesco,SARDI,In detta Casa in soler,Calle del Magazenetto,11 ducati
Francesco,SARDI,In detta Casa soler di sotto,Calle del Magazenetto,10 ducati
Francesco,SARDI,Casa in soler,Calle del Magazenetto,12 ducati
Francesco,SARDI,In detta Casa in soler,Calle del Magazenetto,11 ducati
Giovanni Battista,MOLIN,Casa in soler,Calle del Magazenetto,12 ducati
Vicenzo,DARIO,Casa in soler,Calle del Magazenetto,8 ducati
Vicenzo,DARIO,Casa in soler,Calle del Magazenetto,6 ducati
Vicenzo,DARIO,Casa soler di sotto,Calle del Magazenetto,7 ducati
Vicenzo,DARIO,"In detta casa, una camera vacua",Calle del Magazenetto,6 ducati
Vicenzo,PISANI,Casa in soler,In faccia il Magazenetto,6 ducati
Vicenzo,PISANI,In detta Casa in soler,In faccia il Magazenetto,8 ducati
Vicenzo,PISANI,In detta Casa in soler,In faccia il Magazenetto,7 ducati
Vicenzo,PISANI,In detta casa soler di sotto,In faccia il Magazenetto,8 ducati
Vicenzo,PISANI,Casa soler di sotto,In faccia il Magazenetto,6 ducati
Vicenzo,PISANI,Casa in soler,In faccia il Magazenetto,8 ducati
Vicenzo,PISANI,In detta casa a pepian,In faccia il Magazenetto,6 ducati
Vicenzo,PISANI,Casa in soler,In faccia il Magazenetto,12 ducati
Vicenzo,PISANI,Bottegha da barbier,In faccia il Magazenetto,12 ducati
Iseppo,PANSI,Casa in soler,In faccia il Magazenetto,22 ducati
Zorzi,DANTE,Casa in soler,Alla Ca' Matta,28 ducati
Francesco,TRIVISAN,Casa domenical per proprio uso,Alla Ca' Matta,0
Zorzi,DANTE,Casa in soler,Calle in faccia il forno,20 ducati
Francesco,TRIVISAN,Un casotto fabricato di tavole dopra un fondo ruinoso,Calle in faccia il forno,3 ducati
Zorzi,DANTE,Casa in soler,Calle in faccia il forno,14 ducati
Zorzi,DANTE,Casa a pepian,Calle in faccia il forno,6 ducati
Giacomo,FELTRE,Casa in soler,Al forno,16 ducati
Michiel,CONZATO,Casa a pepian,Calle de Longhi,8 ducati
Michiel,CONZATO,Casa a pepian,Calle de Longhi,8 ducati
Michiel,CONZATO,Casa in primo soler,Calle de Longhi,54 lire
Michiel,CONZATO,In detta casa in soler,Calle de Longhi,54 lire
Michiel,CONZATO,In detta casa soler di sotto,Calle de Longhi,54 lire
Michiel,CONZATO,In detta casa soler di sotto,Calle de Longhi,54 lire
Michiel,CONZATO,Casa in soler,Calle de Longhi,54 lire
Michiel,CONZATO,Casa in soler,Calle de Longhi,54 lire
Michiel,CONZATO,In detta casa in soler,Calle de Longhi,54 lire
Michiel,CONZATO,Casa a pepian,Calle de Longhi,48 lire
Michiel,CONZATO,Casa in soler,Calle de Longhi,42 lire
Michiel,CONZATO,In casa in soler,Calle de Longhi,48 lire
Michiel,CONZATO,In detta casa in soler,Calle de Longhi,48 lire
Michiel,CONZATO,Casa a pepian,Calle de Longhi,42 lire
Michiel,CONZATO,Casa in soler,Calle de Longhi,28 ducati
Michiel,CONZATO,Casa a pepian,Calle de Longhi,8 ducati
Marc'antonio,MOCENIGO,Casa in soler,Calle de Longhi,38 ducati
Marc'antonio,MOCENIGO,Casa a pepian,Calle de Longhi,8 ducati
Marc'antonio,MOCENIGO,Casa in soler,Calle de Longhi,16 ducati
Marc'antonio,MOCENIGO,Casa in soler,Calle de Longhi,8 ducati
Marc'antonio,MOCENIGO,In detta casa in soler,Calle de Longhi,10 ducati
Lucetta,SAGREDO SPINELLI,Casa a pepian,Campiel de Remurchianti,10 ducati
Rocco,FERRO,Casa domenicale per proprio uso,Campiel de Remurchianti,0
Battista,FERRO,Casa domenicale per proprio uso,Calle de Taggiai,0
Marco,FERRO,Camera domenicale per proprio uso,Calle de Taggiai,0
Zuanna Andrea,FERRO,Camera domenicale per proprio uso,Calle de Taggiai,0
Giacomo,ZOCCO,Una camera e cusina a pepian nel corpo di dette case domenicali,Calle de Taggiai,66 lire
Rocco,FERRO,Camera esistente in dette casaedomenicali,Calle de Taggiai,7 ducati
Agostin,FERRO,Casa domenicale per proprio uso,Calle de Taggiai,0
Marietta,BONFINI,"Casa domenicale per proprio uso, paga di livello sopra detto stabile all'Illustrissimo Signor Antonio Altobello",Calle de Taggiai,2 ducati
Marietta,BONFINI,"Casa domenicale per proprio uso, paga di livello sopra detto stabile al Nobil Homo Ser Marc'Antonio Mocenigo fu de Ser Bastian",Calle de Taggiai,10 ducati
Antonio,ALTOBELLO,Casetta a pepian,Calle de Taggiai,8 ducati
Antonio,ALTOBELLO,Casa in soler,Calle de Taggiai,8 ducati
Antonio,ALTOBELLO,In detta casa in soler,Calle de Taggiai,8 ducati
Lucia,SAGREDO SPINELLI,Casa in soler,Calle de Taggiai,10 ducati
Alvise,SAGREDO,In detta casa soler di sopra,Calle de Taggiai,10 ducati
Alvise,SAGREDO,In detta casa soler di sotto,Calle de Taggiai,60 lire
Alvise,SAGREDO,Casa soler di sotto,Calle de Taggiai,60 lire
Alvise,SAGREDO,Casa a pepian,Calle de Taggiai,48 lire
Alvise,BORGHI POVEGGIOTO,Casa domenicale per proprio uso,Campiel de Taggiai,0
Beatrice,BIANCHI,Casa in soler,Campiel de Taggiai,12 ducati
Giovanni Battista,SUCCI,Casa in soler,Sopra la Lista alla Colonna,28 ducati
Marina,BALBI,Casa in soler con ortesello unito,Sopra la Lista alla Colonna,50 ducati
