question,answer,answer_generated
How much does Angelo SEMENZI earn from their property bottega di tellariol in Al campanile?,212 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Angelo SEMENZI earn from their property bottega di tellariol in Al campanile?
### Answer: 28 ducati, 5 grossi, 3 mezzetti, 2 quattrini e 6 minuti, 4 pepianni, 2 perde, 10 sotto il forno, 9 sop"
Where is the property Casa in due affittanze of Domenico MICHIEL located?,Corte Navagera,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property Casa in due affittanze of Domenico MICHIEL located?
### Answer: 2 affittanze di sotto al detto appartamento della casa del forner e per suo uso, con diritto di assolvere la bottega del forno e il luogo vicino dietro al forno fino alla riva"
What type of property does Giovanni Battista FILOSI own in Traghetto della Dogana da Mar?,Libertà numero 19,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Giovanni Battista FILOSI own in Traghetto della Dogana da Mar?
### Answer: 2 libertà di traghetto del Ponte de Baretteri per andar in Campo San Rocco con Casona de Frati Bianchi - Terzo Soler fino al Pozzetto Grande che va a Santa Marina alla"
What type of property does Marina SAGGIO own in Corte delle Baldine?,Casetta a pepian,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Marina SAGGIO own in Corte delle Baldine?
### Answer: 2 libertà di traghetto e casa pepian vuota per proprio uso vòta in Calle de Fabri with the family name of CANALI
### Question: Where is the property Casa in soler of Marco"
How much does Giacomo CORRER earn from their property Casa in Corte Vecchia?,18 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Giacomo CORRER earn from their property Casa in Corte Vecchia?
### Answer: 28 ducati, 16 grossi, 15 piccoli e 9 grossi lire al mese, 30 lire in soldo del credito della botica di nan dal fiorer che ha il diritto"
What is the family name of Marco who owns casa in Calle del spezier?,DARIVA,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Marco who owns casa in Calle del spezier?
### Answer:  CASTELLI SANTORIO FOSCARINI PISANI GRITTI | CALLIARI | CALLICHETTI | CONTARINI | RENIERI | REN"
What type of property does Pietro BASSADONA own in Calle del Traghetto?,Casetta,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Pietro BASSADONA own in Calle del Traghetto?
### Answer: 2 libertà di traghetto e casa pepian in due soleri per proprio uso con entrata in Campo Santa Maria della Celiera corrispondente al Trappolin sino alla Corte delle Monache sopra la Procur"
"Where is the property casa, terzo soler of Corcian CANCIANI located?","casa, terzo soler","You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property casa, terzo soler of Corcian CANCIANI located?
### Answer: 29 Campo vicino alla Chiesa e al Traversata del Traversamento del Ponte di Rialto appresso la Scola Libinetta sino alla Calle della Bissa e Fondamenta San Girolamo L"
Who owns a property casa pepian con due magazzeni in In orto with the family name of TODESCA?,Sarra,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property casa pepian con due magazzeni in In orto with the family name of TODESCA?
### Answer:  Alvise Francesco Maria Toffetti Pisani Tavelli da Zontea | _madre | TOFFELLI | TOFFETTI | TAVALLI | TOVELLETTI | TOVELLO"
What type of property does Francesco PRIULI own in Ruga de due Pozzi?,casetta pepian,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Francesco PRIULI own in Ruga de due Pozzi?
### Answer: 2 libertà di traghetto e casa pepian vuota sopra Calle delle Velle vicino al ponte dei Laccesi per andar in Campo Ruzolo sino alla calle de Favri sino alla cal"
Where is the property casa of Benetto PISANI located?,Rugaiuffa,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property casa of Benetto PISANI located?
### Answer: 28 rialzi e 3 scalei sopra il squero di san Rocco sino alla Corte dei Muti al Campo Grande fino alla Procuratia di Citta et Trahition per andar a San Boldo"
What type of property does Domenico MORANDI own in Traghetto di Muran?,libertà,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Domenico MORANDI own in Traghetto di Muran?
### Answer: 3 case n.5 e 2 botteghe una da fruttarol una da marzer e l'altra per magazen per caricare il pepianer con la gazzona e un altro botegher"
What is the family name of Bastian who owns casa in Calle della Regina?,BARBARIGO,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Bastian who owns casa in Calle della Regina?
### Answer:  BARBARIGO DALL'ANZOLO ZEN located in Corte de Forno?
Camilla Maria Angela | _consorte TREVISAN | TREVISAN
### Question: How much"
What type of property does Alvise PRIULI own in Calle del Forno?,Casa,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Alvise PRIULI own in Calle del Forno?
### Answer: 2 libertà di traghetto e casa a pepian vacua per suo uso vuota con altra bottega da fruttariol per suo uso sopra la volta della stessa scala sino alla suddetta bottega da"
What type of property does Vicenzo MASSARI own in Corte dei Cavalli?,Casa,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Vicenzo MASSARI own in Corte dei Cavalli?
### Answer: 2 libertà di traghetto per mezza la coriza con il pistor sino alla calle vicina al campo decalleti e sopra al ponticello della Rialta d'orese et di Cà Mich"
How much does Domenica PASOTO earn from their property Inviamento di Luganegher in Fondamenta?,30 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Domenica PASOTO earn from their property Inviamento di Luganegher in Fondamenta?
### Answer: 36 ducati, 2 grossi, 8 piccoli, 5 piccolini per carità di Cristo Rezzonico Cocco Rianzato, detta Rianzata Salaverde da P"
"What is the family name of Francesco who owns bottega e appartamento, terzo di casa in Calle de Fabri?",FOSCARI,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Francesco who owns bottega e appartamento, terzo di casa in Calle de Fabri?
### Answer:  FOSCARI PRIULI | _consorte ZANELLA | Zanella
### Question: Who owns magazen da frutta con altra porzione della stessa casa in Calle de Fab"
What type of property does Alba CORNERA own in Fondamenta del Ponte da Noal?,Bottega d Frutariol,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Alba CORNERA own in Fondamenta del Ponte da Noal?
### Answer: 2 magazeni vuoti di fassi e botteghe non fatigate per carità della pietà di Gesù Christo, et della Pietà per la Chiesa di San Giovanni Evangelista, et per suo uso,"
Who owns a property casa in soler in Calle del Centon with the family name of GIOVANELLI?,Iseppo,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property casa in soler in Calle del Centon with the family name of GIOVANELLI?
### Answer:  Cattarina Angela Giustina | _consorte PASQUALIGO BASADONNA | PASTORINI | PASQUALIGO BASADONNA
### Question: What type of property"
What is the family name of Antonia who owns casa in Fossa Capera?,RUGGERI,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Antonia who owns casa in Fossa Capera?
### Answer:  MICHIEL MOROSINI SAGREDO PISANI BEMBO | _consorte RENZONO | RENZONO | RENZONO
### Question: Who owns casa"
What is the family name of Francesco who owns casa in soler in Corte di Cà Foscari?,FOSCARI,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Francesco who owns casa in soler in Corte di Cà Foscari?
### Answer:  FOSCARI SANUDO MICHIEL DONA PERINO REZZONICO GALLO RENIER LIPPIAROLI | _madre | LOREDAN RIVA"
What is the family name of Isabetta who owns Casa in Fondamenta del Trappolin?,MALIPIERO GRITTI,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Isabetta who owns Casa in Fondamenta del Trappolin?
### Answer:  CORRER PISANI PISANI LIPOMANO GALLO RENIER MAGNO | _consorte STEFANIN | CONSORTI | CONSORTI | CONSORT"
Where is the property bottega da barbier e casa of Francesco DANDOLO located?,Calle Valaressa,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property bottega da barbier e casa of Francesco DANDOLO located?
### Answer: 25 dietro la Chiesa di San Mattio - Calle de Fabri - Terzo soler tenuto per malattia della pelle conosciuto come Pescarolotto o Botegha da confetti e sopra la"
Where is the property casa of Giacomo CAVALLI located?,Calle de Lavadori,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property casa of Giacomo CAVALLI located?
### Answer: 2 libertà di traghetto alla Scala with the family name of CAVALLI | CONTARINI | RENIER | PASQUALIGO | BORTOLOTTI | DOLFIN | M"
What type of property does Domenico MOROSINI own in Calle della Comare?,Casa in soler,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Domenico MOROSINI own in Calle della Comare?
### Answer: 2 libertà di traghetto e casa propria con bottega da zavater e magazen per uso proprio, per carità del padrone che li vende tutti i giorni il suo lavoro e la sua frut"
What is the family name of Anzolo who owns casa vuota in Calle della Vida?,QUATI,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Anzolo who owns casa vuota in Calle della Vida?
### Answer:  CAPELLO POLANI PISANI CONTARINI RENZONI | CONTARINI RENZONI |
### Question: Where is the property Casa e bottega da"
Where is the property casa of Bianca LARDONI located?,Corte Lardona,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property casa of Bianca LARDONI located?
### Answer: 2 libertà di traghetto alla Fondamenta della Giovecca o sia del Carbon - Ponte partsina sopra li scaleli dell'Arsenal sino alla Riva grande - Ponte di Canal Reggio em"
Where is the property casa of Abram PARENZO CIVIDAL ZEMEL located?,Ghetto Nuovo,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property casa of Abram PARENZO CIVIDAL ZEMEL located?
### Answer: 2 libertà di traghetto al Fontico della Farina e in calle sota sopra cui è il fontico da manganio del ponte di Rialto sino alla riva del fiori sulla propria scalea"
What is the family name of Antonio who owns Casa in Calle della Bissa?,BASEGIO,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Antonio who owns Casa in Calle della Bissa?
### Answer:  CORNER TACCOLI SAGREDO ZEN RIVA PONTE VERDE MICHIEL REGALI PRIULI | _padre | PRIULI | PRIULI is none"
Where is the property casa a pepian of Francesco MILANI located?,Corte del Raspi,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property casa a pepian of Francesco MILANI located?
### Answer: 2 di rialto novo alla Riva del Carbon sino all'accosta casa de Turchi Cattetolini e Alvise Bonomo al Liocretoho - Toma Morosini earia di"
What is the family name of nan who owns Libertà numero 3 in Traghetto del Lionbianco?,DOLFIN,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of nan who owns Libertà numero 3 in Traghetto del Lionbianco?
### Answer: 25% di casa e bottega da fruttarol con volta in Calle de Fabri with no voice of nan BERNARDO | BERNARDO | BERNARDO
### Question: How"
How much does Michiel MOROSINI earn from their property Casa in Calle della Madonna?,36 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Michiel MOROSINI earn from their property Casa in Calle della Madonna?
### Answer: 6 ducati, 2 grossi, 3 piccoli velluti e sette stronchi per suo uso e gusto di sua famiglia e amici con lui in sollazzo del padrin suo vicino alli aff"
Where is the property Casa of Andrea BARETTA located?,Corte de Pretti,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property Casa of Andrea BARETTA located?
### Answer: 26 Corte Ficca fondamenta San Domenico de Tolentini dietro alla Toletta sopra il forno e per metà di corte di Rota Loredana corronde al Campo di San Sil"
What is the family name of nan who owns casa a pepian in Calle del Bosello?,VIGNOLA,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of nan who owns casa a pepian in Calle del Bosello?
### Answer:  CAPELLO MOROSINI PISANI NODARO RENIER BARBARIGO FONTANA ZORZI MALIPIERO RAFFAIOPOLI BEM"
What is the family name of Andrea who owns Casa in In Rugga?,CALICHIOPOLO,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Andrea who owns Casa in In Rugga?
### Answer:  SORANZO PONTE VENDO located in Campiel de Tedeschi alla Chiesa di San Giacomo di Veggìo in calle Larga?
### Question: Where is the property casa e bottega"
How much does Marco FOSCARINI earn from their property Casa in affittanze in Calle del Forno?,22 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Marco FOSCARINI earn from their property Casa in affittanze in Calle del Forno?
### Answer: 28 ducati, 12 grossi, 10 minuti di fiorini venerdi e sere della moneta d'oro Coronella per Ragione proprio di sua persona, non per uso professionale del"
Who owns a property Casa in Corte del Lovo with the family name of TRIESTE?,Giulio,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property Casa in Corte del Lovo with the family name of TRIESTE?
### Answer:  Domenico Gaetano Francesco Maria PASQUALIGO COSSALI located in Corte delle Procuratie Prima
### Question: What type of property does Giovanni Battista MARCELLO own in Corte delle Pro"
Who owns a property botteghe due in una in Pescaria with the family name of ZINELLI?,Isabetta,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property botteghe due in una in Pescaria with the family name of ZINELLI?
### Answer:  Antonio Maria Girolamo Francesco Iafetillo | Iafetilli | IAFETILLO FARINA | Rinaldo Rettori | Rettori | Paolo Alvise
### Question: What is the type"
Where is the property appartamento di casa of Gasparo GRITTI located?,Calle del Volto,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property appartamento di casa of Gasparo GRITTI located?
### Answer: 26 in calle del Fontico dalla parte della riva del vin fondamenta dei Frari e per andar in calle storta sino alla calle hautor dal arms de Savoia sino alla calle de Fabri"
How much does Zuanne TRON earn from their property Casa in soler in Corte vicino al Riello in detta Contrà?,15 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Zuanne TRON earn from their property Casa in soler in Corte vicino al Riello in detta Contrà?
### Answer: 25 ducati, 8 grossi, per carità di Cristo Rezzonico da San Griffin | _consorte per proprio uso vuota di favore del suo magazen in Calle della Pegola
###"
What is the family name of Sebastian who owns casa soler in Campiel della Calcina?,STEFANI,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Sebastian who owns casa soler in Campiel della Calcina?
### Answer:  CORNER TACCO MARTINELLI PISANI STEFANI ROTA NEGRI BARBARIGO FALIER FINCIOPENELO LOREDAN CONTARIN"
What type of property does Marin BERNARDO own in Calle di Cà Giustinian Lolin?,casetta,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Marin BERNARDO own in Calle di Cà Giustinian Lolin?
### Answer: 2 libertà di traghetto e casa in soler dietro alla squiza con il magazen da fiori per carità serve gratis al pio vicino alla chiesa di San Giacomo de Rialto sino alla cal"
Where is the property casa of Nadal DONA located?,Bordeletto,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property casa of Nadal DONA located?
### Answer: 2 affittanze di detta casa in Calle della Vida e corte del forner corrisponde al diavolo e ai sartori vicino alla riva del vin ubicata nella Corte dei Cavalli sino alla Cor"
What is the family name of Francesco who owns Casa in Corte dal Cavalo?,RUBERTI,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Francesco who owns Casa in Corte dal Cavalo?
### Answer:  CALBO BARTOLI FOSCARINI PRIULI | CALBO BARTOLI | CALBO BARTOLI PRIUL
### Question: How much does Antonio GABRIELE"
What is the family name of Andrea who owns Botega da Varuter in Segue Varuteri in Rughetta?,BERNARDO,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Andrea who owns Botega da Varuter in Segue Varuteri in Rughetta?
### Answer:  SORANZO PONTE VENDO MALIPIERO CONTARINI e fratello di Pietro Paolo Marco Francesco Antonio Alessandro Domenico Maria Magno Rinaldo Zaccaria Luciano Alv"
Who owns a property Casa e Bottega in Calle della Madonna with the family name of GABRIELLI?,Gabriel,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property Casa e Bottega in Calle della Madonna with the family name of GABRIELLI?
### Answer:  Girolamo Antonio Maria Benvenuto | _madre PISANI | PISANI
### Question: What is the family name of Zorzi | _madre PISANI who owns Caseta in Cor"
What is the family name of Pelegrin who owns Casa in In Calle del Piombo?,ZEN,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Pelegrin who owns Casa in In Calle del Piombo?
### Answer:  CORNER MOROSINI PISANI PELLICIOLI PELLICOLI ZEN located in Corte Morosina dietro la Tanna alla Repubblica di Venezia
### Question: Where"
"What is the family name of Chiara who owns casa soler in Calle del Dose, Corte de Orbi?",BRONZARINI,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Chiara who owns casa soler in Calle del Dose, Corte de Orbi?
### Answer:  FINI MALVICINI PRIULI | FINI MALVICINI PRIULI | FINI MALVICINI PRIULI | VITTA BARBARIG"
What is the family name of Michiel who owns casa in Calle di Ca Bernardo?,BERNARDO,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Michiel who owns casa in Calle di Ca Bernardo?
### Answer:  BERNARDO GABRIELI TREVISAN CONTARINI RENIERI SORAMANDIO | _madre, _padre, _suocera, _fratello, _"
Who owns a property casa divisa in tre parti in Calle dei Gesuiti with the family name of MORO?,Gasparo,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property casa divisa in tre parti in Calle dei Gesuiti with the family name of MORO?
### Answer:  Battista Antonio DONA RENIER FOSCARINI SANTORIO MARTINELLI | RENIER FOSCARINI SANTORIO MARTINELLI| _madre di"
Who owns a property Appartamento in Seguendo Calle dei cinque- Scale di pietra secondo soler with the family name of ZANE?,Francesco,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property Appartamento in Seguendo Calle dei cinque- Scale di pietra secondo soler with the family name of ZANE?
### Answer:  Antonio Maria Girolamo Rizzo TREVISANI | RIZZO PONTE | RIZZO PONTE |
### Question: Where is Giovanni Battista BARBARIGO | BARB"
What is the family name of Antonio who owns Casa in Corte de Ka Zoppa?,ZANDONINI,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Antonio who owns Casa in Corte de Ka Zoppa?
### Answer:  RENIER MALTELLO CONTARINI PONTE GRADENIGO | _consorte CORNER DA BERGAMO | CONTERELLO | CONTERELLO TREVIS"
Who owns a property casa in Rio delle fornase fondamenta del Specier with the family name of TOMAGNIN?,Paolo,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property casa in Rio delle fornase fondamenta del Specier with the family name of TOMAGNIN?
### Answer:  Giovanni Battista Antonio | _consorte FALIER CORNER TREVISAN | FALIER CORNER TREVISAN
### Question: What type of property does Francesco Maria SARDI | SARDI"
